id,date,hour,member_id,restaurant_id,total_order
1,2020-01-01,11:00:00.0000000,25,6,0.0
2,2020-01-01,11:08:00.0000000,122,4,0.0
3,2020-01-01,11:10:00.0000000,62,16,39.0
4,2020-01-01,11:13:00.0000000,171,9,0.0
5,2020-01-01,11:13:00.0000000,152,30,153.0
6,2020-01-01,11:13:00.0000000,166,25,120.32999999999998
7,2020-01-01,11:18:00.0000000,25,21,158.86
8,2020-01-01,11:19:00.0000000,95,1,95.96
9,2020-01-01,11:19:00.0000000,40,30,0.0
10,2020-01-01,11:20:00.0000000,149,19,248.11
11,2020-01-01,11:25:00.0000000,28,24,131.57
12,2020-01-01,11:29:00.0000000,121,16,0.0
13,2020-01-01,11:30:00.0000000,46,7,32.94
14,2020-01-01,11:30:00.0000000,200,17,131.63
15,2020-01-01,11:32:00.0000000,158,7,72.59
16,2020-01-01,11:33:00.0000000,39,16,194.17000000000004
17,2020-01-01,11:36:00.0000000,128,18,0.0
18,2020-01-01,11:37:00.0000000,131,18,71.16
19,2020-01-01,11:37:00.0000000,181,1,0.0
20,2020-01-01,11:38:00.0000000,127,18,97.5
21,2020-01-01,11:40:00.0000000,124,13,171.26999999999998
22,2020-01-01,11:48:00.0000000,77,8,100.08
23,2020-01-01,11:49:00.0000000,23,29,141.31
24,2020-01-01,11:51:00.0000000,137,15,0.0
25,2020-01-01,11:52:00.0000000,77,25,67.28
26,2020-01-01,11:52:00.0000000,159,18,121.24
27,2020-01-01,11:53:00.0000000,46,11,244.5
28,2020-01-01,11:56:00.0000000,49,28,33.92
29,2020-01-01,11:59:00.0000000,29,15,92.25
30,2020-01-01,11:59:00.0000000,169,29,0.0
31,2020-01-01,12:05:00.0000000,61,28,95.06
32,2020-01-01,12:05:00.0000000,166,16,0.0
33,2020-01-01,12:06:00.0000000,96,8,100.08
34,2020-01-01,12:06:00.0000000,44,4,39.06
35,2020-01-01,12:08:00.0000000,131,9,124.36
36,2020-01-01,12:09:00.0000000,103,19,69.41
37,2020-01-01,12:14:00.0000000,183,23,66.05
38,2020-01-01,12:17:00.0000000,167,5,40.59
